Shoulder_Right1,Shoulder_Right2,Shoulder_Right3,Elbow_Right1,Wrist_Right1,Wrist_Right2,Wrist_Right3,
-0.407154,0.228455,0.244119,1.31529,-0.52512,-0.244899,-0.748515,
-0.407184,0.228411,0.243933,1.31511,-0.525119,-0.244509,-0.748185,
-0.407101,0.228311,0.243875,1.31512,-0.524991,-0.244715,-0.747687,
-0.406731,0.228553,0.2441,1.31571,-0.525045,-0.245006,-0.748026,
-0.406568,0.228711,0.24409,1.31571,-0.524824,-0.244952,-0.748276,
-0.406904,0.228479,0.244053,1.31521,-0.524913,-0.244884,-0.747916,
-0.406771,0.228634,0.244134,1.31571,-0.525172,-0.244947,-0.748631,
-0.406551,0.228661,0.243927,1.31577,-0.525048,-0.244728,-0.747796,
-0.406751,0.228661,0.244205,1.3156,-0.525174,-0.24499,-0.747735,
-0.406385,0.228843,0.24411,1.31601,-0.525171,-0.244921,-0.747563,
